2024-01-15 02:31:11 info: Query/Mutation: users, Return Type: [User]
2024-01-15 02:31:11 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:31:11 info: Query/Mutation: name, Return Type: String
2024-01-15 02:31:11 info: Query/Mutation: email, Return Type: String
2024-01-15 02:33:28 info: Query/Mutation: users, Return Type: [User]
2024-01-15 02:33:28 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:33:28 info: Query/Mutation: name, Return Type: String
2024-01-15 02:33:28 info: Query/Mutation: email, Return Type: String
2024-01-15 02:33:53 info: Query/Mutation: users, Return Type: [User]
2024-01-15 02:33:53 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:33:53 info: Query/Mutation: name, Return Type: String
2024-01-15 02:33:53 info: Query/Mutation: email, Return Type: String
2024-01-15 02:34:12 info: Query/Mutation: updateUser, Return Type: User
2024-01-15 02:34:12 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:34:12 info: Query/Mutation: name, Return Type: String
2024-01-15 02:34:12 info: Query/Mutation: email, Return Type: String
2024-01-15 02:34:21 info: Query/Mutation: user, Return Type: User
2024-01-15 02:34:21 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:34:21 info: Query/Mutation: name, Return Type: String
2024-01-15 02:34:21 info: Query/Mutation: email, Return Type: String
2024-01-15 02:34:55 info: Query/Mutation: user, Return Type: User
2024-01-15 02:34:55 info: Query/Mutation: id, Return Type: Int
2024-01-15 02:34:55 info: Query/Mutation: name, Return Type: String
2024-01-15 02:34:55 info: Query/Mutation: email, Return Type: String
